Id,Latitude,Longitude,Zone,Franchisee
4599,40.85475,-73.859809,B,Crown Castle NG East LLC
4600,40.870594,-73.883365,C,Crown Castle NG East LLC
4601,40.867108,-73.851825,B,Crown Castle NG East LLC
4602,40.617811,-74.08093,B,Crown Castle NG East LLC
4603,40.631252,-74.143079,B,Crown Castle NG East LLC
4604,40.860836,-73.835882,B,Crown Castle NG East LLC
4605,40.876665,-73.918303,B,Crown Castle NG East LLC
4606,40.858623,-73.849216,B,Crown Castle NG East LLC
4607,40.822906,-73.916602,C,Crown Castle NG East LLC
4608,40.881011,-73.83252,B,Crown Castle NG East LLC
4609,40.822503,-73.900571,C,Crown Castle NG East LLC
4610,40.645325,-74.08461,B,Crown Castle NG East LLC
4611,40.850819,-73.861625,B,Crown Castle NG East LLC
4613,40.646538,-74.089012,B,Crown Castle NG East LLC
4614,40.87687,-73.874465,C,Crown Castle NG East LLC
4615,40.844224,-73.881864,C,Crown Castle NG East LLC
4616,40.641743,-74.097884,B,Crown Castle NG East LLC
4617,40.634549,-74.076854,B,Crown Castle NG East LLC
4618,40.826361,-73.876656,B,Crown Castle NG East LLC
4619,40.62746,-74.172151,B,Crown Castle NG East LLC
4620,40.827907,-73.818442,B,Crown Castle NG East LLC
4621,40.841039,-73.892047,C,Crown Castle NG East LLC
4622,40.811806,-73.887629,C,Crown Castle NG East LLC
4623,40.883724,-73.906581,B,Crown Castle NG East LLC
4624,40.8838,-73.912696,B,Crown Castle NG East LLC
4625,40.835985,-73.902752,C,Crown Castle NG East LLC
4626,40.83093,-73.886271,C,Crown Castle NG East LLC
4627,40.823847,-73.895742,C,Crown Castle NG East LLC
4628,40.876185,-73.878697,C,Crown Castle NG East LLC
4629,40.619462,-74.090089,B,Crown Castle NG East LLC
4630,40.829213,-73.859986,B,Crown Castle NG East LLC
4631,40.861453,-73.866906,B,Crown Castle NG East LLC
4632,40.890235,-73.837824,B,Crown Castle NG East LLC
4633,40.616777,-74.094126,B,Crown Castle NG East LLC
4634,40.827679,-73.866916,B,Crown Castle NG East LLC
4635,40.625832,-74.166833,B,Crown Castle NG East LLC
4636,40.87556,-73.887265,C,Crown Castle NG East LLC
4637,40.642915,-74.110544,B,Crown Castle NG East LLC
4638,40.817208,-73.801834,B,Crown Castle NG East LLC
4639,40.8347,-73.929257,C,Crown Castle NG East LLC
4640,40.85864,-73.869449,B,Crown Castle NG East LLC
4641,40.830007,-73.893373,C,Crown Castle NG East LLC
4642,40.814964,-73.907562,C,Crown Castle NG East LLC
4643,40.80486,-73.885134,C,Crown Castle NG East LLC
4644,40.807071,-73.911529,C,Crown Castle NG East LLC
4645,40.88369,-73.902859,B,Crown Castle NG East LLC
4647,40.886431,-73.828495,B,Crown Castle NG East LLC
